0 Twin
1 Sniper
2 Machine Gun
3 Flank Guard
4 Director
5 Pounder
6 Trapper
8 Single
0,0 Double Twin
0,1 Triple Shot
0,3 Hexa Tank
0,4 Wark
0,5 Dual
0,6 Bulwark
0,7 Musket
1,0 Assassin
1,1 Hunter
1,3 Rifle
1,4 Bushwhacker
1,5 Railgun
2,1 Minigun
2,2 Gunner
2,3 Diesel
2,4 Machine Trapper
2,5 Sprayer
2,6 Gadget Gun
3,1 Tri-Angle
3,2 Auto-3
3,3 Trap Guard
3,4 Tri-Trapper
3,5 Triple Twin
4,0 Overseer
4,1 Cruiser
4,2 Underseer
4,3 Spawner
4,4 Directordrive
4,5 Honcho
4,6 Doper
4,7 Manager
5,0 Destroyer
5,1 Builder
5,2 Artillery
5,3 Launcher
5,4 Shotgun
5,5 Eagle
5,6 Subverter
5,7 Bruiser
6,3 Pen
6,4 Mech
6,7 Barricade
6,8 Overtrapper
6,9 Mega Trapper
6,10 Sawed Off
8,0 Duo
8,1 Sharpshooter
8,3 Ternion
8,4 Coordinator
8,6 Tricker
8,7 Mono
8,8 Avian
8,9 Custodian
8,10 Assistant
8,11 Auto-Single
5,1,1,1 Triple Auto-Builder
5,1,1,3 Auto-Engineer
5,1,1,4 Auto-Boomer
5,1,1,6 Auto-Forger
5,1,1,7 Auto-Stall
5,1,1,8 Auto-Fashioner
5,1,1,9 Auto-Charger
5,1,2,2 Parryer
5,1,2,3 Originator
5,1,2,4 Vanquisher
5,1,2,5 Producer
5,1,2,6 Cubicle
5,1,2,7 Machinist
5,1,2,8 Driver
5,1,2,9 Specialist
5,1,2,10 Deviser
5,1,3,3 Ricochet
5,1,3,4 Defeater
5,1,3,5 Rebounder
5,1,3,6 Fender
5,1,3,7 Bent Boomer
5,1,3,8 Deflector
5,1,4,3 Artist
5,1,4,5 Castle
5,1,4,6 Inventor
5,1,4,7 Designer
5,1,4,8 Draftsman
5,1,4,9 Architect Guard
5,1,5,9 Overrunner
5,1,6,4 Planner
5,1,6,6 Former
5,1,6,7 Caster
5,1,6,8 Bounder
5,1,6,9 Blend
5,1,6,10 Shaper
5,1,6,11 Modeler
5,1,6,12 Melder
5,1,8,3 Fashionerdrive
5,1,8,4 Methodist
5,1,8,11 Rallyer
5,1,9,0 Assailer
5,2,1,0 Ruiner
5,2,1,1 Escort
5,2,1,2 Arsenal
5,2,1,3 Huntsman
5,2,1,5 Auto-Ordnance
5,2,1,6 Firepower
5,2,1,7 Mega Ordnance
5,2,1,8 Carnage
5,2,1,10 Broadsider
5,2,2,0 Apiarist
5,2,2,1 Bumbler
5,2,2,2 Beemaster
5,2,2,6 Carronade
5,2,2,7 Auto-Beekeeper
5,2,2,8 Apiculturist
5,2,3,0 Skidder
5,2,3,1 Spinner
5,2,3,2 Packer
5,2,3,3 Anaconda
5,2,3,4 Aviator
5,2,3,5 Rainmaker
5,2,3,7 Strafe
5,2,3,8 Embargo
5,2,3,9 Auto-Field Gun
5,2,3,10 Slinger
5,2,3,11 Howitzer
5,2,3,12 Magnum
5,2,3,14 Conveyer
5,2,3,15 Flurry
5,2,6,0 Overartillery
5,2,6,1 Mixer
5,2,6,2 Generator
5,2,6,3 Forcedrive
5,2,6,4 Energizer
5,2,6,5 Plaster
5,2,6,11 Auto-Force
5,2,6,12 Vigor
5,2,6,13 Vitality
5,2,7,0 Mega Auto-Artillery
5,2,7,1 Triple Auto-Artillery
5,2,7,2 Auto-Mortar
5,2,7,9 Auto-Foctillery
5,2,7,10 Auto-Discharger
5,2,8,0 Foctar
5,2,8,7 Pivoter
5,2,9,0 Fusillade
5,2,9,8 Hatchet
5,2,9,9 Kitter
5,2,9,10 Concoctor
5,3,0,0 Auto-Skimmer
5,3,0,1 Dipper
5,3,0,2 Hyperskimmer
5,3,0,3 Ream
5,3,0,4 Ladle
5,3,0,6 Torpedo
5,3,0,7 Bowler
5,3,0,9 Pit Viper
5,3,0,11 Ticker
5,3,0,12 Scorcher
5,3,1,0 Auto-Twister
5,3,1,1 Spouter
5,3,1,2 Hypertwister
5,3,1,3 Helix
5,3,1,4 Spiral
5,3,1,5 Gyro
5,3,1,6 Rattler
5,3,1,7 Squaller
5,3,1,9 Torsion
5,3,1,10 Collision
5,3,1,12 Grenade
5,3,2,0 Flocker
5,3,2,1 Auto-Swarmer
5,3,2,3 Hyperswarmer
5,3,2,4 Molotov
5,3,2,6 Swarmerdrive
5,3,2,7 Voyage
5,3,2,9 Cartridge
5,3,2,10 Shoal
5,3,3,0 Veerer
5,3,3,1 Caduceus
5,3,3,2 Auto-Sidewinder
5,3,3,3 Hyperwinder
5,3,3,5 Vermin
5,3,3,6 Boomslang
5,3,3,8 Mamba
5,3,3,11 Hognose
5,3,5,0 Firework
5,3,5,1 ICBM
5,3,5,2 Venture
5,3,5,8 Careerer
5,3,5,9 Auto-Rocketeer
5,3,5,10 Pyromaniac
5,3,6,0 Chucker
5,3,6,2 Propeller
5,3,6,3 Dispatcher
5,3,6,6 Spieler
5,3,6,7 Auto-Pitcher
5,3,6,9 Mine
5,3,6,12 Pleuron
5,3,7,0 Auto-Cluster
5,3,7,1 Gimmicker
5,3,7,2 Nester
5,3,7,3 Hypercluster
5,3,7,11 Shell
5,3,7,12 Neutron
5,3,7,14 Flock
5,3,7,15 Recursor
5,3,8,0 Auto-Projector
5,3,8,1 Resourcer
5,3,8,2 Jutter
5,3,8,8 Hyperprojector
5,3,8,9 Guarder
5,3,9,0 Overlauncher
5,3,9,1 Lobber
5,3,9,2 Duper
5,3,9,3 Heaverdrive
5,3,9,4 Emitter
5,3,9,13 Tosser
5,3,9,15 Auto-Heaver
5,3,10,0 Mega Auto-Launcher
5,3,10,1 Triple Auto-Launcher
5,3,10,2 Auto-Inception
5,3,12,0 Hyperinception
6,3,1,0 Corral
6,3,1,1 Tri-Encircler
6,3,1,2 Paddock
6,3,1,3 Coop
6,3,1,4 Tri-Operator
6,3,1,5 Tri-Incarcerator
6,3,2,0 Quarrion
6,3,2,1 Machete
6,3,2,3 Picket
6,3,2,4 Exerter
6,3,2,5 Auto-Encircler
6,3,2,6 Environ
6,3,2,7 Landau
6,3,2,8 Kraal
6,3,3,2 Gunner Pen
6,3,3,3 Nuker
6,3,3,4 Overthrower
6,3,3,6 Confiner
6,3,3,7 Auto-Incarcerator
6,3,3,8 Jailer
6,3,4,4 Cacatua
6,3,4,5 Employer
6,3,4,6 Utilizer
6,3,4,7 Auto-Operator
6,3,6,2 Corella
6,3,6,3 Guardrail
6,3,6,4 Brig
6,3,6,8 Retainer
6,3,6,9 Auto-Hutch
6,3,7,1 Kettle
6,3,7,2 Ringer
6,3,7,4 Internerdrive
6,3,7,5 Probationer
6,3,7,6 Delayer
6,3,7,8 Auto-Interner
6,3,8,0 Mega Auto-Pen
6,3,8,1 Triple Auto-Pen
6,4,2,3 Auto-Machine Mech
6,4,2,4 Repairman
6,4,2,7 Rigger
6,4,3,6 Patrol
6,4,3,7 Auto-Mech Guard
6,4,3,9 Tri-Mech Guard
6,4,5,1 Yard
6,4,5,3 Hexa-Mech
6,4,5,7 Contriver
6,4,5,8 Auto-Cog
6,4,6,1 Fuser
6,4,6,3 Automaton
6,4,6,4 cobblerdrive
6,4,6,5 Restorer
6,4,6,9 Auto-Cobbler
6,4,7,0 Mega Auto-Mech
6,4,7,1 Triple Auto-Mech
4,4,0,0 Vortex
